,Time,A0,A1,B0,B1,C0
0,2246765000,778,4077,8152,10816,12291
1,2246766568,778,4077,8152,10816,12291
2,2246767956,1954,4068,8134,10816,12271
3,2246769336,2582,4060,8123,10815,12263
4,2246770716,3069,4057,8118,10814,12265
5,2246772092,2767,4055,8117,10814,12263
6,2246773472,2450,4054,8117,10817,12269
7,2246774852,1263,4056,8121,10815,12278
8,2246776232,-300,4058,8123,10816,12271
9,2246777612,-1623,4057,8120,10810,12266
10,2246778992,-2565,4057,8119,10816,12270
11,2246780372,-3087,4055,8118,10819,12261
12,2246781756,-2828,4054,8113,10817,12257
13,2246783140,-2304,4053,8113,10817,12257
14,2246784524,-1448,4052,8109,10817,12248
15,2246785908,-129,4051,8108,10814,12248
16,2246787292,1352,4049,8106,10815,12249
17,2246788700,2362,4051,8108,10815,12252
18,2246790080,3123,4051,8111,10817,12258
19,2246791460,3063,4053,8117,10815,12271
20,2246792840,2637,4055,8119,10818,12271
21,2246794220,1714,4057,8121,10813,12272
22,2246795600,346,4058,8123,10811,12276
23,2246796980,-1054,4058,8122,10814,12270
24,2246798364,-2151,4057,8119,10813,12265
25,2246799748,-3049,4056,8118,10814,12268
26,2246801132,-3286,4056,8119,10814,12269
27,2246802516,-2764,4057,8120,10815,12269
28,2246803900,-2096,4056,8120,10810,12269
29,2246805304,-709,4057,8121,10812,12269
30,2246806684,973,4057,8119,10817,12268
31,2246808064,1941,4055,8115,10815,12257
32,2246809444,2663,4054,8114,10817,12262
33,2246810824,3605,4053,8114,10816,12257
34,2246812204,3010,4053,8111,10817,12258
35,2246813588,2194,4053,8114,10813,12258
36,2246814972,1069,4052,8110,10815,12252
37,2246816356,-328,4051,8108,10813,12251
38,2246817740,-1606,4052,8113,10812,12269
39,2246819124,-2568,4054,8119,10812,12275
40,2246820532,-3144,4057,8122,10816,12274
41,2246821912,-3242,4058,8122,10814,12273
42,2246823292,-2356,4057,8120,10813,12270
43,2246824672,-1372,4056,8119,10815,12264
44,2246826052,214,4056,8117,10813,12267
45,2246827432,1717,4056,8119,10809,12270
46,2246828812,2355,4056,8120,10817,12267
47,2246830196,2859,4056,8119,10814,12267
48,2246831580,3110,4056,8117,10815,12263
49,2246832964,2670,4055,8116,10815,12261
50,2246834348,1685,4053,8112,10814,12257
51,2246835732,388,4053,8114,10815,12263
52,2246837140,-1023,4054,8116,10812,12261
53,2246838520,-2325,4054,8114,10813,12263
54,2246839896,-3334,4054,8113,10813,12254
55,2246841276,-3139,4052,8111,10815,12258
56,2246842656,-2664,4053,8114,10817,12261
57,2246844036,-1975,4053,8116,10807,12269
58,2246845420,-540,4057,8121,10815,12274
59,2246846804,960,4057,8123,10811,12279
60,2246848188,2079,4059,8124,10815,12274
61,2246849572,2763,4058,8121,10812,12273
62,2246850956,3313,4057,8121,10812,12268
63,2246852340,2990,4056,8117,10814,12263
64,2246853744,1991,4055,8117,10814,12264
65,2246855124,973,4054,8116,10814,12261
66,2246856504,-587,4054,8116,10814,12269
67,2246857884,-1858,4055,8117,10813,12263
68,2246859264,-2776,4055,8115,10816,12258
69,2246860644,-3217,4053,8109,10816,12246
70,2246862028,-3187,4050,8105,10812,12245
71,2246863412,-2248,4050,8107,10815,12256
72,2246864796,-1305,4052,8113,10816,12260
73,2246866180,93,4052,8113,10815,12261
74,2246867564,1455,4054,8116,10817,12263
75,2246868972,2542,4055,8116,10815,12266
76,2246870352,3266,4055,8119,10814,12272
77,2246871732,3101,4057,8120,10814,12269
78,2246873112,2615,4057,8123,10815,12279
79,2246874492,1586,4058,8121,10818,12267
80,2246875872,196,4056,8118,10815,12266
81,2246877252,-1157,4055,8118,10815,12266
82,2246878636,-2411,4055,8117,10818,12262
83,2246880020,-3039,4054,8113,10814,12260
84,2246881404,-3214,4054,8115,10813,12267
85,2246882788,-2828,4055,8116,10813,12261
86,2246884172,-1721,4054,8114,10811,12260
87,2246885580,-354,4054,8114,10813,12259
88,2246886960,1036,4052,8109,10815,12251
89,2246888336,2324,4051,8110,10814,12258
90,2246889716,2901,4052,8111,10815,12258
91,2246891096,3152,4052,8112,10810,12258
92,2246892476,2882,4053,8112,10815,12258
93,2246893860,2098,4053,8114,10819,12261
94,2246895244,858,4053,8113,10814,12261
95,2246896628,-814,4054,8116,10817,12273
96,2246898012,-2039,4058,8124,10815,12280
97,2246899396,-2703,4058,8125,10814,12278
98,2246900780,-3180,4058,8123,10815,12270
99,2246902184,-2875,4057,8118,10817,12265
100,2246903564,-2521,4055,8116,10813,12259
101,2246904944,-795,4053,8112,10813,12254
102,2246906324,465,4052,8109,10813,12253
103,2246907704,1704,4052,8110,10815,12254
104,2246909084,2718,4051,8109,10812,12250
105,2246910468,3174,4050,8107,10813,12247
106,2246911852,3145,4049,8106,10814,12245
107,2246913236,2305,4049,8102,10817,12238
108,2246914620,1158,4047,8102,10814,12246
109,2246916004,-70,4049,8106,10813,12253
110,2246917412,-1382,4051,8111,10813,12260
111,2246918792,-2701,4052,8113,10813,12258
112,2246920172,-2997,4053,8114,10813,12263
113,2246921552,-3029,4053,8114,10811,12258
114,2246922932,-2353,4055,8117,10813,12274
115,2246924312,-1596,4055,8121,10812,12274
116,2246925692,-40,4058,8123,10814,12278
117,2246927076,965,4057,8120,10814,12263
118,2246928460,2119,4057,8115,10814,12257
119,2246929844,3030,4053,8113,10814,12257
120,2246931228,3385,4053,8114,10814,12266
121,2246932612,2854,4054,8114,10815,12257
122,2246934020,1907,4053,8112,10815,12255
123,2246935400,480,4052,8110,10814,12252
124,2246936780,-903,4051,8108,10814,12250
125,2246938156,-1768,4051,8106,10815,12246
126,2246939536,-3036,4048,8102,10813,12237
127,2246940916,-3259,4047,8101,10811,12246
128,2246942300,-2746,4049,8107,10814,12257
129,2246943684,-1975,4052,8113,10813,12261
130,2246945068,-679,4053,8113,10813,12255
131,2246946452,549,4052,8110,10814,12255
132,2246947836,1904,4051,8112,10817,12258
133,2246949244,2486,4055,8119,10813,12277
134,2246950624,3354,4058,8123,10814,12279
135,2246952004,2931,4059,8125,10812,12280
136,2246953384,2228,4058,8121,10812,12262
137,2246954764,991,4055,8114,10813,12256
138,2246956144,-264,4053,8112,10813,12253
139,2246957524,-1659,4052,8110,10815,12257
140,2246958908,-2621,4052,8111,10815,12256
141,2246960292,-3322,4052,8112,10815,12257
142,2246961676,-3043,4052,8113,10813,12260
143,2246963060,-2765,4053,8114,10819,12260
144,2246964444,-1608,4052,8108,10815,12241
145,2246965852,-24,4049,8100,10813,12231
146,2246967232,1269,4046,8100,10814,12245
147,2246968612,2613,4048,8105,10817,12250
148,2246969992,3189,4050,8109,10815,12256
149,2246971372,3241,4051,8110,10813,12257
150,2246972752,2669,4052,8111,10814,12260
151,2246974132,1595,4052,8109,10812,12252
152,2246975516,353,4052,8111,10812,12261
153,2246976900,-1011,4054,8117,10815,12271
154,2246978284,-1860,4055,8120,10813,12272
155,2246979668,-2806,4057,8116,10815,12257
156,2246981052,-3290,4053,8111,10815,12255
157,2246982456,-3202,4051,8107,10817,12243
158,2246983836,-2290,4049,8103,10813,12242
159,2246985216,-995,4048,8100,10815,12235
160,2246986596,581,4046,8096,10815,12235
161,2246987976,1874,4045,8097,10814,12233
162,2246989356,2770,4045,8096,10814,12234
163,2246990740,3221,4044,8094,10813,12225
164,2246992124,2873,4042,8090,10815,12221
165,2246993508,2051,4041,8092,10814,12233
166,2246994892,1032,4043,8098,10816,12247
167,2246996276,-550,4048,8105,10815,12253
168,2246997684,-1904,4051,8111,10816,12261
169,2246999064,-2906,4052,8113,10813,12259
170,2247000444,-3219,4053,8113,10813,12259
171,2247001824,-3139,4054,8116,10814,12271
172,2247003204,-2439,4056,8121,10815,12273
173,2247004584,-1185,4057,8121,10817,12271
174,2247005964,-269,4056,8118,10817,12266
175,2247007348,1275,4055,8115,10813,12257
176,2247008732,2270,4054,8115,10812,12260
177,2247010116,3299,4053,8113,10815,12257
178,2247011500,3262,4053,8112,10816,12259
179,2247012884,2539,4052,8111,10816,12255
180,2247014292,1690,4052,8113,10814,12261
181,2247015672,143,4053,8113,10815,12259
182,2247017052,-1231,4053,8111,10818,12250
183,2247018428,-2179,4051,8107,10815,12247
184,2247019808,-2977,4050,8108,10814,12252
185,2247021188,-3147,4051,8109,10815,12260
186,2247022572,-2884,4053,8114,10812,12265
187,2247023956,-2222,4054,8116,10813,12266
188,2247025340,-795,4055,8117,10815,12266
189,2247026724,611,4054,8117,10815,12269
190,2247028108,2115,4057,8119,10816,12268
191,2247029492,3065,4056,8118,10817,12267
192,2247030896,3061,4057,8120,10817,12270
193,2247032276,2815,4057,8118,10818,12262
194,2247033656,2024,4054,8113,10815,12257
195,2247035036,1065,4052,8110,10812,12253
196,2247036416,-674,4052,8110,10815,12255
197,2247037796,-1833,4052,8111,10814,12253
198,2247039180,-2890,4051,8107,10815,12249
199,2247040564,-3219,4051,8107,10815,12249
200,2247041948,-3111,4049,8104,10817,12243
201,2247043332,-2463,4049,8103,10813,12242
202,2247044716,-1387,4047,8099,10815,12234
203,2247046124,-15,4047,8102,10813,12246
204,2247047504,1456,4048,8105,10812,12251
205,2247048884,2430,4050,8109,10815,12257
206,2247050264,3000,4051,8110,10814,12258
207,2247051644,3096,4052,8113,10812,12262
208,2247053024,2635,4054,8116,10817,12268
209,2247054404,1669,4055,8119,10814,12271
210,2247055788,276,4057,8122,10816,12277
211,2247057172,-953,4058,8122,10813,12270
212,2247058556,-2341,4057,8115,10815,12257
213,2247059940,-3007,4053,8110,10813,12250
214,2247061324,-3152,4051,8109,10812,12257
215,2247062728,-2525,4052,8109,10815,12255
216,2247064108,-1677,4051,8110,10814,12256
217,2247065488,-495,4052,8110,10813,12251
218,2247066868,718,4051,8107,10818,12246
219,2247068248,2260,4050,8105,10818,12249
220,2247069628,3028,4049,8104,10811,12240
221,2247071012,3161,4047,8099,10817,12235
222,2247072396,2875,4046,8101,10815,12249
223,2247073780,2040,4049,8106,10815,12254
224,2247075164,823,4051,8109,10815,12255
225,2247076548,-710,4051,8109,10814,12255
226,2247077956,-1732,4053,8111,10813,12255
227,2247079336,-2618,4052,8110,10813,12252
228,2247080716,-3067,4052,8111,10812,12261
229,2247082096,-2924,4054,8117,10812,12272
230,2247083476,-2188,4056,8121,10814,12270
231,2247084856,-1332,4055,8117,10816,12258
232,2247086236,335,4054,8113,10809,12259
233,2247087620,1494,4054,8113,10815,12260
234,2247089004,2483,4053,8112,10817,12253
235,2247090388,3220,4052,8110,10813,12254
236,2247091772,3061,4051,8108,10814,12251
237,2247093156,2694,4051,8110,10815,12256
238,2247094564,1612,4051,8107,10813,12243
239,2247095944,-152,4049,8103,10812,12239
240,2247097320,-1346,4046,8096,10815,12231
241,2247098700,-2260,4045,8100,10814,12246
242,2247100080,-2943,4047,8103,10811,12247
243,2247101460,-2904,4049,8105,10812,12250
244,2247102844,-2935,4050,8108,10814,12253
245,2247104228,-1848,4051,8107,10809,12252
246,2247105612,-163,4051,8111,10816,12259
247,2247106996,1045,4052,8113,10814,12263
248,2247108380,2318,4054,8117,10815,12271
249,2247109788,2871,4057,8123,10815,12277
250,2247111168,3107,4057,8118,10815,12262
251,2247112548,2826,4055,8114,10814,12253
252,2247113928,1904,4051,8108,10813,12249
253,2247115308,608,4050,8107,10813,12247
254,2247116688,-673,4050,8106,10814,12248
255,2247118068,-2057,4050,8106,10815,12250
256,2247119452,-3073,4050,8106,10813,12249
257,2247120836,-3401,4050,8107,10810,12249
258,2247122220,-3015,4049,8103,10813,12236
259,2247123604,-2235,4047,8099,10817,12236
260,2247124988,-1062,4046,8101,10813,12248
261,2247126396,85,4049,8107,10814,12254
262,2247127776,1552,4051,8110,10815,12261
263,2247129156,2721,4053,8113,10814,12260
264,2247130536,3066,4053,8113,10815,12261
265,2247131912,3361,4053,8114,10814,12263
266,2247133292,2408,4054,8119,10813,12274
267,2247134676,1200,4057,8122,10815,12275
268,2247136060,38,4058,8123,10815,12273
269,2247137444,-1391,4058,8120,10811,12265
270,2247138828,-2584,4054,8115,10809,12258
271,2247140212,-3166,4053,8111,10814,12252
272,2247141596,-3212,4051,8108,10814,12251
273,2247143000,-2509,4051,8108,10813,12250
274,2247144380,-1452,4051,8108,10814,12254
275,2247145760,-67,4051,8109,10815,12253
276,2247147140,1314,4052,8110,10813,12257
277,2247148520,2505,4051,8109,10814,12251
278,2247149900,3086,4050,8106,10811,12244
279,2247151284,3149,4049,8106,10814,12252
280,2247152668,2794,4051,8110,10816,12260
281,2247154052,1781,4053,8112,10817,12261
282,2247155436,280,4053,8114,10817,12264
283,2247156820,-786,4054,8117,10816,12267
284,2247158228,-2235,4055,8119,10817,12268
285,2247159608,-2840,4057,8121,10815,12273
286,2247160988,-3270,4057,8122,10815,12274
287,2247162364,-3008,4057,8123,10815,12275
288,2247163744,-1884,4058,8121,10813,12263
289,2247165124,-788,4055,8116,10815,12260
290,2247166508,591,4053,8112,10815,12252
291,2247167892,2037,4051,8108,10814,12249
292,2247169276,2757,4050,8106,10814,12245
293,2247170660,3443,4049,8105,10816,12250
294,2247172044,3012,4049,8105,10814,12244
295,2247173428,2437,4049,8105,10815,12248
296,2247174832,1036,4049,8105,10815,12247
297,2247176212,-314,4049,8106,10813,12254
298,2247177592,-1653,4051,8111,10814,12262
299,2247178972,-2421,4053,8115,10816,12261
300,2247180352,-3118,4054,8113,10813,12260
301,2247181732,-3033,4053,8113,10815,12259
302,2247183116,-2304,4053,8115,10815,12263
303,2247184500,-1436,4055,8116,10811,12268
304,2247185884,-58,4055,8118,10811,12274
305,2247187268,1119,4057,8122,10814,12275
306,2247188652,2406,4057,8121,10815,12269
307,2247190060,2988,4057,8119,10813,12262
308,2247191440,3189,4054,8114,10817,12257
309,2247192820,2620,4053,8113,10817,12255
310,2247194200,1512,4051,8109,10815,12251
311,2247195580,114,4051,8110,10813,12254
312,2247196956,-1031,4050,8107,10815,12248
313,2247198340,-2286,4050,8106,10813,12247
314,2247199724,-3037,4050,8107,10814,12252
315,2247201108,-3551,4050,8106,10815,12247
316,2247202492,-2911,4049,8105,10815,12247
317,2247203876,-1932,4051,8112,10814,12263
318,2247205260,-820,4052,8113,10815,12262
319,2247206664,869,4053,8113,10814,12255
320,2247208044,1879,4052,8109,10813,12250
321,2247209424,3087,4051,8109,10814,12254
322,2247210804,3403,4051,8109,10810,12255
323,2247212184,2855,4053,8114,10813,12269
324,2247213564,2101,4055,8119,10815,12271
325,2247214948,967,4056,8118,10814,12268
326,2247216332,-338,4056,8119,10818,12268
327,2247217716,-1785,4055,8117,10814,12264
328,2247219100,-2930,4054,8113,10813,12256
329,2247220484,-3198,4053,8112,10814,12257
330,2247221892,-3247,4052,8110,10814,12248
331,2247223272,-2503,4050,8106,10814,12249
332,2247224652,-1353,4051,8106,10815,12247
333,2247226032,27,4050,8106,10815,12250
334,2247227412,1188,4049,8105,10820,12246
335,2247228792,2414,4050,8107,10817,12256
336,2247230172,3221,4051,8112,10816,12263
337,2247231556,3180,4054,8117,10814,12271
338,2247232940,2533,4055,8118,10813,12269
339,2247234324,1523,4057,8119,10816,12271
340,2247235708,368,4055,8118,10814,12265
341,2247237092,-1371,4054,8118,10815,12271
342,2247238496,-2156,4057,8122,10814,12280
343,2247239876,-2885,4059,8125,10815,12278
344,2247241256,-3077,4059,8125,10812,12276
345,2247242636,-2875,4058,8121,10818,12265
346,2247244016,-1862,4055,8115,10810,12258
347,2247245396,-603,4053,8113,10811,12258
