,Time,A0,A1,B0,B1,C0
0,10122002,-4,8192,4106,-11,3536
1,10122005,-27,8112,4060,-8,3512
2,10122008,-34,8056,4026,-9,3332
3,10122010,-36,8008,4000,-8,3652
4,10122013,-37,7968,3976,-9,3276
5,10122016,-36,7928,3956,-6,3582
6,10122019,-36,7884,3934,-5,3534
7,10122021,-36,7842,3910,-7,3512
8,10122024,-36,7800,3888,-7,3645
9,10122027,-35,7756,3864,-7,3502
10,10122030,-35,7720,3842,-4,3656
11,10122033,-35,7676,3820,-6,3492
12,10122035,-36,7632,3800,-9,3522
13,10122038,-36,7588,3776,-7,3602
14,10122041,-35,7552,3752,-5,3728
15,10122044,-35,7512,3732,-6,3820
16,10122047,-34,7480,3712,-9,3694
17,10122049,-34,7444,3694,0,3818
18,10122052,-35,7408,3674,-5,3985
19,10122055,-34,7377,3656,-9,3733
20,10122058,-35,7346,3640,-6,3762
21,10122061,-34,7320,3626,-5,3989
22,10122063,-34,7288,3618,-4,3972
23,10122066,-34,7252,3606,-7,3956
24,10122069,-34,7220,3597,-7,3924
25,10122072,-33,7192,3589,-5,3908
26,10122075,-34,7160,3581,-6,3962
27,10122077,-33,7138,3574,-7,3941
28,10122080,-33,7122,3565,-5,3981
29,10122083,-33,7101,3555,-9,4036
30,10122086,-33,7088,3547,-5,4033
31,10122089,-33,7076,3541,-8,4042
32,10122091,-33,7064,3535,-6,4102
33,10122094,7053,3530,-7,4032,2
34,10122097,7044,3524,-6,3934,2
35,10122100,7038,3521,-9,4202,2
36,10122102,7030,3517,-7,4346,1
37,10122105,7020,3514,-8,4269,2
38,10122108,7012,3510,-10,4210,2
39,10122111,7004,3506,-6,4252,2
40,10122114,6995,3502,-6,4451,2
41,10122116,6988,3498,-5,4446,1
42,10122119,6981,3495,-6,4349,1
43,10122122,6970,3489,-9,4404,1
44,10122125,6958,3484,-5,4472,2
45,10122128,6950,3479,-4,4593,1
46,10122130,6942,3475,-9,4520,2
47,10122133,6937,3472,-5,4470,2
48,10122136,6937,3470,-7,4427,1
49,10122139,6934,3471,-6,4658,2
50,10122142,6938,3471,-7,4597,1
51,10122144,6937,3471,-6,4648,1
52,10122147,6935,3470,-6,4618,2
53,10122150,6928,3468,-10,4691,2
54,10122153,6923,3466,-6,4702,2
55,10122156,6919,3465,-3,4825,1
56,10122158,6917,3463,-6,4755,2
57,10122161,6916,3462,-7,4846,2
58,10122164,6910,3459,-6,4893,2
59,10122167,6901,3455,-7,4858,2
60,10122170,6892,3451,-6,4695,2
61,10122172,6885,3447,-8,4877,2
62,10122175,6884,3446,-6,4844,2
63,10122178,6882,3445,-4,4931,1
64,10122181,6883,3444,-8,4745,2
65,10122183,6882,3445,-7,5051,2
66,10122186,6886,3446,-8,5150,2
67,10122189,6884,3446,-8,5100,2
68,10122192,6884,3446,-8,5131,2
69,10122195,6884,3446,-1,5172,1
70,10122197,6881,3445,-6,5211,2
71,10122200,6883,3445,-6,5281,1
72,10122203,6882,3445,-7,5288,2
73,10122206,6883,3445,-5,5228,1
74,10122209,6875,3442,-8,5320,1
75,10122211,6863,3437,-6,5308,2
76,10122214,6859,3434,-6,5113,2
77,10122217,6854,3431,-6,5297,2
78,10122220,6855,3431,-7,5418,2
79,10122223,6857,3431,-5,5487,2
80,10122225,6863,3435,-6,5437,2
81,10122228,6863,3435,-6,5442,2
82,10122231,6866,3436,-7,5498,2
83,10122234,6867,3437,-5,5461,1
84,10122237,6866,3437,-7,5361,2
85,10122239,6867,3438,-5,5488,2
86,10122242,6868,3438,-9,5483,2
87,10122245,6868,3438,-7,5341,1
88,10122248,6866,3437,-6,5569,2
89,10122250,6863,3436,-7,5657,2
90,10122253,6855,3433,-7,5574,2
91,10122256,6845,3428,-8,5642,1
92,10122259,6841,3425,-4,5705,2
93,10122262,6843,3425,-5,5667,1
94,10122264,6843,3425,-6,5726,1
95,10122267,6847,3426,-7,5554,2
96,10122270,6850,3428,-6,5775,1
97,10122273,6852,3429,-9,5559,3
98,10122276,-32,6856,3431,-6,5651
99,10122278,-32,6862,3434,-5,5811
100,10122281,-32,6862,3434,-5,5678
101,10122284,-32,6859,3435,-5,5747
102,10122287,-31,6859,3434,-8,5707
103,10122290,-32,6858,3434,-6,5625
104,10122292,-32,6855,3433,-6,5717
105,10122295,-32,6856,3431,-9,5612
106,10122298,-31,6849,3430,-6,5641
107,10122301,-32,6841,3426,-8,5711
108,10122304,-32,6839,3424,-7,5659
109,10122306,-32,6835,3421,-11,5621
110,10122309,-32,6837,3422,-8,5945
111,10122312,-33,6840,3423,-5,5972
112,10122315,-32,6840,3424,-6,5814
113,10122318,-32,6847,3426,-6,5915
114,10122320,-32,6851,3429,-5,5805
115,10122323,-32,6852,3429,-8,5740
116,10122326,-32,6854,3430,-6,5951
117,10122329,-32,6854,3431,-4,5776
118,10122332,-31,6850,3430,-7,5798
119,10122334,-32,6850,3430,-3,5763
120,10122337,-33,6851,3429,-6,5776
121,10122340,-32,6844,3427,-6,5850
122,10122343,-32,6842,3426,-6,5769
123,10122345,-33,6837,3423,-6,5819
124,10122348,-32,6833,3421,-5,5734
125,10122351,-32,6835,3421,-5,5858
126,10122354,-33,6840,3423,-6,5943
127,10122357,-32,6843,3425,-7,5805
128,10122359,-32,6846,3426,-6,5924
129,10122362,-32,6853,3429,-8,5635
130,10122365,-32,6855,3431,-6,5911
131,10122368,-33,6854,3431,-8,5930
132,10122371,-31,6851,3430,-6,5843
133,10122373,-32,6849,3429,-4,5602
134,10122376,-32,6850,3430,-7,5861
135,10122379,-32,6853,3431,-4,5774
136,10122382,-32,6852,3430,-3,5836
137,10122385,-32,6843,3427,-5,5725
138,10122387,-32,6837,3424,-5,5541
139,10122390,-32,6831,3421,-8,5733
140,10122393,-32,6833,3420,-7,5530
141,10122396,-32,6834,3421,-5,5696
142,10122399,-32,6839,3422,-5,5726
143,10122401,-32,6846,3425,-6,5660
144,10122404,-31,6847,3427,-5,5820
145,10122407,-31,6851,3428,-7,5585
146,10122410,-32,6851,3429,-8,5461
147,10122412,-32,6849,3429,-6,5586
148,10122415,-32,6850,3429,-7,5553
149,10122418,-32,6851,3430,-6,5607
150,10122421,-32,6850,3429,-5,5497
151,10122424,-32,6848,3429,-5,5484
152,10122426,-32,6847,3428,-6,5485
153,10122429,-32,6839,3425,-7,5402
154,10122432,-32,6835,3422,-6,5369
155,10122435,-31,6830,3419,-6,5514
156,10122438,-32,6831,3419,-5,5303
157,10122440,-32,6833,3420,-5,5496
158,10122443,-32,6837,3422,-4,5414
159,10122446,-32,6838,3422,-5,5302
160,10122449,-32,6845,3426,-8,5348
161,10122452,-32,6850,3428,-6,5270
162,10122454,-32,6856,3430,-7,5082
163,10122457,-32,6853,3431,-7,5328
164,10122460,-32,6852,3430,-6,5281
165,10122463,-32,6850,3430,-7,5103
166,10122466,-32,6849,3429,-5,5027
167,10122468,-33,6850,3430,-7,5249
168,10122471,-32,6844,3427,-2,5314
169,10122474,-32,6836,3424,-5,5161
170,10122477,-32,6831,3421,-6,5030
171,10122480,-32,6830,3419,-6,5091
172,10122482,-32,6830,3419,-5,5098
173,10122485,-32,6833,3420,-9,4827
174,10122488,-32,6838,3422,-7,4808
175,10122491,-33,6842,3424,-6,4819
176,10122493,-33,6850,3428,-6,4880
177,10122496,-32,6852,3430,-6,5061
178,10122499,-32,6855,3430,-7,4823
179,10122502,-32,6851,3430,-6,4751
180,10122505,-32,6851,3429,-12,4728
181,10122507,-32,6850,3429,-6,4683
182,10122510,-32,6846,3429,-6,5102
183,10122513,-32,6851,3429,-4,4526
184,10122516,-33,6842,3426,-6,4670
185,10122519,-31,6837,3424,-4,4615
186,10122521,-32,6834,3421,-9,4671
187,10122524,-32,6835,3422,-6,4491
188,10122527,-32,6833,3421,-5,4530
189,10122530,-32,6841,3423,-8,4694
190,10122533,-31,6843,3426,-5,4479
191,10122535,-32,6847,3427,-6,4591
192,10122538,-32,6853,3429,-5,4352
193,10122541,-32,6854,3430,-7,4434
194,10122544,-32,6852,3430,-5,4299
195,10122547,-32,6849,3430,-6,4279
196,10122549,-32,6849,3429,-6,4255
197,10122552,-31,6847,3429,-6,4234
198,10122555,-32,6846,3428,-7,4232
199,10122558,-32,6847,3428,-6,4156
200,10122561,-32,6839,3425,-8,3998
201,10122563,-32,6837,3423,-3,4203
202,10122566,-32,6834,3422,-6,4101
203,10122569,-32,6833,3420,-5,3966
204,10122572,-32,6834,3421,-5,3939
205,10122574,-32,6837,3422,-6,3863
206,10122577,-32,6840,3423,-10,4026
207,10122580,-32,6847,3426,-6,4031
208,10122583,-32,6849,3428,-6,3905
209,10122586,-33,6849,3428,-6,4007
210,10122588,-32,6847,3428,-5,3785
211,10122591,-31,6847,3428,-7,3721
212,10122594,-33,6847,3428,-7,3699
213,10122597,-32,6848,3429,-11,3768
214,10122600,-33,6849,3428,-6,3679
215,10122602,-31,6844,3427,-7,3666
216,10122605,-32,6838,3425,-4,3576
217,10122608,-32,6830,3420,-6,3495
218,10122611,-32,6832,3420,-4,3696
219,10122614,-32,6830,3420,-7,3508
220,10122616,-32,6835,3421,-6,3472
221,10122619,-32,6841,3424,-4,3334
222,10122622,-32,6843,3425,-5,3277
223,10122625,-32,6849,3427,-6,3413
224,10122628,-31,6847,3428,-7,3119
225,10122630,-31,6852,3430,-5,3371
226,10122633,-31,6854,3431,-7,3244
227,10122636,-32,6854,3430,-4,3029
228,10122639,-33,6851,3430,-6,3265
229,10122642,-32,6848,3428,-5,3188
230,10122644,-32,6847,3429,-5,3164
231,10122647,-33,6842,3426,-10,3154
232,10122650,-32,6836,3424,-5,2913
233,10122653,-31,6833,3421,-6,3077
234,10122655,-32,6829,3419,-4,2878
235,10122658,-31,6829,3419,-6,2971
236,10122661,-32,6836,3420,-5,2860
237,10122664,-33,6844,3425,-6,2947
238,10122667,-32,6847,3427,-7,2958
239,10122669,-33,6851,3429,-9,2923
240,10122672,-32,6854,3431,-6,2910
241,10122675,-31,6856,3431,-6,2842
242,10122678,-32,6851,3430,-7,2718
243,10122681,-32,6850,3429,-6,2820
